5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 
5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 
5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 
5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 5242880, 
5243075, 5243270, 5243465, 5243661, 5243856, 5244051, 5244247, 5244442, 5244637, 5244833, 5245028, 5245223, 5245419, 5245614, 5245809, 5246005, 5246200, 5246395, 
5243245, 5243610, 5243975, 5244341, 5244706, 5245071, 5245436, 5245801, 5246166, 5246532, 5246896, 5247261, 5247627, 5247991, 5248356, 5248721, 5249086, 5249450, 
5243393, 5243906, 5244419, 5244932, 5245445, 5245958, 5246471, 5246983, 5247496, 5248009, 5248521, 5249033, 5249546, 5250058, 5250570, 5251082, 5251594, 5252105, 
5243521, 5244163, 5244805, 5245446, 5246088, 5246729, 5247370, 5248011, 5248652, 5249293, 5249933, 5250573, 5251213, 5251853, 5252493, 5253132, 5253772, 5254410, 
5243633, 5244386, 5245140, 5245893, 5246646, 5247399, 5248151, 5248904, 5249656, 5250408, 5251159, 5251910, 5252661, 5253412, 5254162, 5254912, 5255662, 5256411, 
5243730, 5244580, 5245431, 5246281, 5247131, 5247980, 5248829, 5249679, 5250527, 5251375, 5252223, 5253070, 5253917, 5254764, 5255610, 5256456, 5257301, 5258146, 
5243814, 5244748, 5245683, 5246617, 5247551, 5248484, 5249417, 5250350, 5251282, 5252213, 5253145, 5254075, 5255005, 5255936, 5256864, 5257793, 5258721, 5259649, 
5243887, 5244894, 5245902, 5246908, 5247915, 5248920, 5249926, 5250931, 5251936, 5252939, 5253943, 5254945, 5255947, 5256950, 5257950, 5258950, 5259950, 5260950, 
5243950, 5245020, 5246091, 5247160, 5248230, 5249297, 5250366, 5251434, 5252501, 5253566, 5254633, 5255697, 5256761, 5257826, 5258888, 5259950, 5261012, 5262074, 
